Running Update Time,Itration,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL
316,316,2303.79,1580000,15.6662,1920.68,-11550.9208984375,156.6809
317,317,2295.99,1585000,15.8111,1923.78,-11570.6728515625,156.6101
318,318,2274.7,1590000,15.5244,1913.75,-11609.5810546875,156.7478
319,319,2283.81,1595000,15.7432,1929.96,-11606.4169921875,156.6715
320,320,2287.84,1600000,15.7314,1930.51,-11607.1474609375,156.5681
321,321,2270.9,1605000,15.69,1927.38,-11656.5498046875,156.7134
322,322,2274.32,1610000,15.6997,1922.58,-11691.0556640625,156.7387
323,323,2296.22,1615000,15.6724,1933.34,-11701.041015625,156.6502
324,324,2284.97,1620000,15.7442,1925.9,-11717.4453125,156.742
325,325,2258.91,1625000,15.5819,1890.29,-11696.8583984375,156.7392
326,326,2260.7,1630000,15.5744,1912.29,-11748.369140625,156.6703
327,327,2291.83,1635000,15.812,1926.64,-11788.35546875,156.6723
328,328,2273.35,1640000,15.6845,1912.14,-11792.0263671875,156.6578
329,329,2265.8,1645000,15.6943,1918.39,-11775.529296875,156.6598
330,330,2275.57,1650000,15.676,1903.26,-11776.4228515625,156.6295
331,331,2297.98,1655000,15.9167,1930.42,-11828.9072265625,156.6709
332,332,2289.54,1660000,15.7101,1924.0,-11814.7177734375,156.6725
333,333,2281.21,1665000,15.678,1917.13,-11832.1845703125,156.5922
334,334,2294.84,1670000,15.7576,1928.89,-11897.576171875,156.6696
335,335,2288.18,1675000,15.7956,1918.86,-11901.3916015625,156.7465
336,336,2287.04,1680000,15.8722,1931.29,-11939.958984375,156.7089
337,337,2273.36,1685000,15.6982,1917.49,-11923.35546875,156.6811
338,338,2269.34,1690000,15.6131,1915.86,-11919.4599609375,156.6601
339,339,2299.01,1695000,15.7709,1952.7,-11986.224609375,156.8027
340,340,2290.26,1700000,15.7429,1929.83,-12000.072265625,156.5975
341,341,2289.81,1705000,15.3939,1909.08,-11979.2822265625,156.5593
342,342,2292.72,1710000,15.6883,1924.72,-12049.6630859375,156.7081
343,343,2294.48,1715000,15.7944,1959.8,-12023.0107421875,156.6166
344,344,2292.31,1720000,15.5951,1919.69,-12044.779296875,156.6717
345,345,2302.2,1725000,15.6729,1919.98,-12100.330078125,156.68
346,346,2297.23,1730000,15.4877,1940.43,-12088.294921875,156.6571
347,347,2264.72,1735000,15.371,1912.69,-12045.994140625,156.5947
348,348,2282.66,1740000,15.4625,1936.18,-12074.7568359375,156.5335
349,349,2303.49,1745000,15.7141,1934.09,-12142.279296875,156.6496
350,350,2278.58,1750000,15.3855,1917.56,-12138.7724609375,156.6252
351,351,2287.19,1755000,15.5158,1937.88,-12159.974609375,156.6365
352,352,2299.59,1760000,15.4662,1944.55,-12206.5068359375,156.6849
353,353,2299.68,1765000,15.4526,1938.48,-12173.259765625,156.5941
354,354,2267.61,1770000,15.4323,1922.75,-12198.0341796875,156.5949
355,355,2264.72,1775000,15.5408,1918.45,-12219.517578125,156.6489
356,356,2282.03,1780000,15.395,1907.96,-12242.224609375,156.6434
357,357,2288.65,1785000,15.6202,1923.92,-12293.9697265625,156.6539
358,358,2295.26,1790000,15.4734,1921.76,-12293.2392578125,156.6718
359,359,2314.31,1795000,15.5384,1935.4,-12337.55078125,156.6914
360,360,2287.57,1800000,15.4109,1931.42,-12309.935546875,156.4712
361,361,2283.31,1805000,15.4021,1919.25,-12326.029296875,156.6004
362,362,2297.83,1810000,15.4657,1942.99,-12348.392578125,156.4572
363,363,2308.45,1815000,15.4784,1948.63,-12370.2734375,156.5361
364,364,2270.19,1820000,15.22,1942.75,-12333.5380859375,156.6195
365,365,2280.52,1825000,15.4156,1941.81,-12382.349609375,156.6532
366,366,2284.57,1830000,15.5421,1959.62,-12403.1337890625,156.5809
367,367,2269.15,1835000,15.405,1906.3,-12476.8369140625,156.7848
368,368,2268.43,1840000,15.4196,1930.91,-12458.5419921875,156.5528
369,369,2274.02,1845000,15.3297,1936.76,-12438.283203125,156.7407
370,370,2298.97,1850000,15.4724,1941.53,-12479.9873046875,156.5571
371,371,2300.51,1855000,15.4565,1940.01,-12487.6865234375,156.6608
372,372,2290.17,1860000,15.4316,1942.83,-12494.5859375,156.5461
373,373,2293.39,1865000,15.5268,1935.68,-12571.810546875,156.7003
374,374,2292.63,1870000,15.3717,1914.39,-12562.7265625,156.5578
375,375,2304.56,1875000,15.5699,1955.22,-12558.173828125,156.5692
376,376,2291.68,1880000,15.5316,1922.31,-12571.16796875,156.6547
377,377,2284.45,1885000,15.2776,1916.67,-12568.185546875,156.5015
378,378,2300.11,1890000,15.7233,1959.38,-12660.1865234375,156.5768
