Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration,Reward Loss
18.4361,3567.46,3849.97,45.1582,315,1575000,315,-3456.1103515625
17.4929,3920.1,3127.37,45.1058,316,1580000,316,-3582.644775390625
18.4545,3784.82,2990.77,45.2607,317,1585000,317,-3596.51123046875
18.9982,3985.87,3430.92,45.3303,318,1590000,318,-3566.388671875
18.411,3779.55,3405.4,45.1366,319,1595000,319,-3583.26806640625
16.6647,3873.39,3186.65,45.1747,320,1600000,320,-3798.63134765625
17.4227,4013.7,3222.28,45.0288,321,1605000,321,-3673.0771484375
15.8562,3930.98,3581.83,45.0463,322,1610000,322,-3836.34033203125
15.9772,3963.34,3347.29,45.0063,323,1615000,323,-3800.199462890625
18.9597,3935.65,3234.09,44.6694,324,1620000,324,-3599.332763671875
18.603,4001.34,2931.85,45.0394,325,1625000,325,-3682.337890625
16.8309,4036.53,2817.28,45.2209,326,1630000,326,-3903.26025390625
15.6441,4001.83,3131.9,45.0991,327,1635000,327,-4005.43603515625
15.913,4132.31,2771.12,45.6358,328,1640000,328,-4290.47314453125
19.6431,4023.08,3226.26,45.2634,329,1645000,329,-3777.05859375
18.971,3947.58,3413.91,45.0964,330,1650000,330,-3811.01025390625
18.3452,4038.1,3224.78,44.9642,331,1655000,331,-3977.94677734375
18.2932,4027.77,3247.69,44.9079,332,1660000,332,-3865.84326171875
18.9708,4067.43,3551.09,44.9948,333,1665000,333,-3867.187744140625
18.2722,4073.77,3367.64,44.9347,334,1670000,334,-4089.227783203125
18.1346,4076.97,3354.76,44.8638,335,1675000,335,-4149.7490234375
17.2747,4022.18,3060.47,44.8571,336,1680000,336,-4067.312744140625
19.0727,3913.47,3838.07,44.8114,337,1685000,337,-3905.54052734375
18.6537,3797.36,3451.6,44.6282,338,1690000,338,-3969.49755859375
17.61,3845.47,3467.5,45.0568,339,1695000,339,-4148.8134765625
17.9222,3634.54,3519.42,44.8295,340,1700000,340,-4068.89111328125
18.1828,3797.61,3579.79,44.6273,341,1705000,341,-4046.01953125
19.2164,3642.59,3669.13,44.8011,342,1710000,342,-3978.74072265625
18.9666,3873.93,3654.84,44.808,343,1715000,343,-4104.50927734375
18.0998,3898.07,3556.95,44.7875,344,1720000,344,-4146.31982421875
17.1117,3953.31,3370.74,45.0965,345,1725000,345,-4304.7724609375
17.2601,3926.17,3761.53,45.1698,346,1730000,346,-4239.654296875
17.422,3926.55,3596.18,44.979,347,1735000,347,-4273.7998046875
18.4593,3944.35,3585.58,44.899,348,1740000,348,-4178.7568359375
19.475,3788.4,3903.15,44.6422,349,1745000,349,-4202.88720703125
19.202,3873.44,3550.77,45.0675,350,1750000,350,-4263.16748046875
16.5926,4037.13,3056.45,45.3319,351,1755000,351,-4571.5341796875
18.7251,3735.48,3840.09,45.2668,352,1760000,352,-4469.67431640625
18.7843,4035.92,3165.1,44.8728,353,1765000,353,-4392.54736328125
18.1789,3924.93,3821.76,44.9403,354,1770000,354,-4327.33349609375
18.6177,3918.97,3504.23,44.9964,355,1775000,355,-4466.1474609375
18.4378,3990.79,3392.56,44.7431,356,1780000,356,-4356.29638671875
18.6478,4002.31,3407.18,44.8063,357,1785000,357,-4551.98388671875
17.5882,4013.48,3603.25,45.0244,358,1790000,358,-4703.8134765625
17.2016,4010.65,3102.42,45.1953,359,1795000,359,-4671.76953125
17.5298,3932.35,3650.18,44.9422,360,1800000,360,-4742.5126953125
17.7976,4034.5,2997.93,44.8759,361,1805000,361,-4787.73486328125
18.1338,4011.61,2929.94,45.0059,362,1810000,362,-4852.62109375
15.9258,4107.37,2932.81,45.2431,363,1815000,363,-5067.57373046875
17.7014,4106.65,3178.79,45.2322,364,1820000,364,-4881.0068359375
17.4798,4022.55,2837.24,45.0783,365,1825000,365,-4806.2412109375
19.2611,3793.45,2889.17,45.3725,366,1830000,366,-4640.6318359375
16.7637,3923.97,3476.07,45.3765,367,1835000,367,-4844.666015625
17.583,4022.81,3307.97,45.2971,368,1840000,368,-4726.19140625
17.5252,3965.04,2969.89,44.5962,369,1845000,369,-4732.62109375
16.0474,3599.97,2542.72,45.1267,370,1850000,370,-4887.4208984375
17.4263,4103.15,3251.71,45.3795,371,1855000,371,-4790.33740234375
18.03,3745.45,2788.19,45.1873,372,1860000,372,-4836.97607421875
17.3955,3718.52,2925.24,45.2821,373,1865000,373,-4988.58984375
18.3873,3960.76,3474.02,45.2042,374,1870000,374,-4882.0888671875
